timestamp,value
2020-06-14 19:26:23 +0900,87
2020-06-14 19:34:41 +0900,74
2020-06-14 19:36:13 +0900,75
2020-06-14 19:42:33 +0900,90
2020-06-14 19:47:14 +0900,84
2020-06-14 19:55:08 +0900,81
2020-06-14 19:58:24 +0900,87
2020-06-14 20:00:36 +0900,85
2020-06-14 20:06:35 +0900,82
2020-06-14 20:12:01 +0900,81
2020-06-14 20:18:55 +0900,80
2020-06-14 20:20:19 +0900,76
2020-06-14 20:26:22 +0900,82
2020-06-14 20:30:27 +0900,85
2020-06-14 20:35:50 +0900,78
2020-06-14 20:41:08 +0900,78
2020-06-14 20:47:10 +0900,80
2020-06-14 20:53:13 +0900,77
2020-06-14 20:59:28 +0900,84
2020-06-14 21:03:36 +0900,79
2020-06-14 21:23:38 +0900,89
2020-06-14 21:29:38 +0900,84
2020-06-14 21:35:08 +0900,87
2020-06-14 21:37:43 +0900,92.7228
2020-06-14 21:39:59 +0900,100
2020-06-14 21:45:14 +0900,109.714
2020-06-14 21:45:14 +0900,100
2020-06-14 21:46:29 +0900,102
2020-06-14 21:55:09 +0900,79
2020-06-14 21:56:25 +0900,77
2020-06-14 22:03:00 +0900,95
2020-06-14 22:05:49 +0900,93
2020-06-14 22:12:25 +0900,86.7797
2020-06-14 22:12:15 +0900,88
2020-06-14 22:17:20 +0900,89
2020-06-14 22:22:06 +0900,89
2020-06-14 22:26:35 +0900,91
2020-06-14 22:30:42 +0900,93
2020-06-14 22:38:06 +0900,97
2020-06-14 22:49:14 +0900,98
2020-06-14 22:52:22 +0900,97
2020-06-14 22:55:41 +0900,93
2020-06-14 23:02:54 +0900,83
2020-06-14 23:06:02 +0900,81
2020-06-14 23:10:22 +0900,78
2020-06-14 23:17:08 +0900,80
2020-06-14 23:21:12 +0900,75
2020-06-14 23:26:02 +0900,74
2020-06-14 23:30:27 +0900,74
2020-06-14 23:35:32 +0900,74
2020-06-14 23:40:22 +0900,73
2020-06-14 23:45:22 +0900,73
2020-06-14 23:52:15 +0900,85
2020-06-14 23:55:19 +0900,77
2020-06-15 00:05:00 +0900,78
2020-06-15 00:07:17 +0900,74
2020-06-15 00:13:38 +0900,78
2020-06-15 00:16:36 +0900,82
2020-06-15 00:20:44 +0900,78
2020-06-15 00:28:58 +0900,71
2020-06-15 00:30:23 +0900,70
2020-06-15 00:35:18 +0900,70
2020-06-15 00:40:59 +0900,70
2020-06-15 00:49:33 +0900,72
2020-06-15 00:52:03 +0900,70
2020-06-15 00:59:59 +0900,66
2020-06-15 01:01:21 +0900,69
2020-06-15 01:08:00 +0900,69
2020-06-15 01:12:23 +0900,70
2020-06-15 01:16:58 +0900,71
2020-06-15 01:23:08 +0900,77
2020-06-15 01:27:22 +0900,76
2020-06-15 01:30:29 +0900,75
2020-06-15 01:38:53 +0900,79
2020-06-15 01:40:38 +0900,76
2020-06-15 01:47:50 +0900,74
2020-06-15 01:52:47 +0900,71
2020-06-15 01:55:23 +0900,72
2020-06-15 02:02:23 +0900,74
2020-06-15 02:09:31 +0900,86
2020-06-15 02:11:31 +0900,74
2020-06-15 02:15:41 +0900,85
2020-06-15 02:23:44 +0900,73.8462
2020-06-15 02:22:45 +0900,72
2020-06-15 02:28:56 +0900,73
2020-06-15 02:31:18 +0900,74
2020-06-15 02:39:40 +0900,74
2020-06-15 02:41:05 +0900,73
2020-06-15 02:48:30 +0900,70
2020-06-15 02:51:15 +0900,69
2020-06-15 02:56:27 +0900,72
2020-06-15 03:04:27 +0900,72
2020-06-15 03:06:54 +0900,73
2020-06-15 03:10:59 +0900,73
2020-06-15 03:18:17 +0900,73
2020-06-15 03:20:57 +0900,71
2020-06-15 03:26:41 +0900,68
2020-06-15 03:31:01 +0900,68
2020-06-15 03:35:55 +0900,70
2020-06-15 03:40:22 +0900,70
2020-06-15 03:46:22 +0900,72
2020-06-15 03:50:53 +0900,70
2020-06-15 04:00:17 +0900,72
2020-06-15 04:03:42 +0900,69
2020-06-15 04:05:44 +0900,69
2020-06-15 04:14:21 +0900,67
2020-06-15 04:16:47 +0900,67
2020-06-15 04:20:37 +0900,68
2020-06-15 04:25:22 +0900,67
2020-06-15 04:30:32 +0900,67
2020-06-15 04:35:37 +0900,66
2020-06-15 04:40:32 +0900,67
2020-06-15 04:45:57 +0900,68
2020-06-15 04:50:22 +0900,64
2020-06-15 04:58:47 +0900,68
2020-06-15 05:00:47 +0900,69
2020-06-15 05:08:18 +0900,68
2020-06-15 05:12:43 +0900,70
2020-06-15 05:15:23 +0900,71
2020-06-15 05:20:58 +0900,68
2020-06-15 05:25:18 +0900,71
2020-06-15 05:32:28 +0900,70
2020-06-15 05:36:08 +0900,72
2020-06-15 05:40:38 +0900,71
2020-06-15 05:45:29 +0900,71
2020-06-15 05:51:04 +0900,71
2020-06-15 05:55:24 +0900,71
2020-06-15 06:00:29 +0900,70
2020-06-15 06:07:34 +0900,70.4587
2020-06-15 06:05:19 +0900,71
2020-06-15 06:10:21 +0900,71
2020-06-15 06:15:26 +0900,71
2020-06-15 06:20:56 +0900,71
2020-06-15 06:26:26 +0900,68
2020-06-15 06:30:21 +0900,72
2020-06-15 06:35:26 +0900,72
2020-06-15 06:40:22 +0900,72
2020-06-15 06:46:47 +0900,72
2020-06-15 06:51:27 +0900,73
2020-06-15 06:55:52 +0900,72
2020-06-15 07:01:35 +0900,73
2020-06-15 07:05:47 +0900,73
2020-06-15 07:10:37 +0900,72
2020-06-15 07:16:12 +0900,73
2020-06-15 07:21:57 +0900,74
2020-06-15 07:25:57 +0900,72
2020-06-15 07:30:27 +0900,72
2020-06-15 07:35:57 +0900,71
2020-06-15 07:40:42 +0900,72
2020-06-15 07:46:07 +0900,68
2020-06-15 07:50:57 +0900,72
2020-06-15 07:55:37 +0900,72
2020-06-15 08:00:32 +0900,72
2020-06-15 08:07:27 +0900,71
2020-06-15 08:10:27 +0900,72
2020-06-15 08:15:22 +0900,73
2020-06-15 08:20:42 +0900,72
2020-06-15 08:25:32 +0900,71
2020-06-15 08:35:17 +0900,71
2020-06-15 08:36:27 +0900,72
2020-06-15 08:40:22 +0900,73
2020-06-15 08:45:46 +0900,71
2020-06-15 08:50:37 +0900,71
2020-06-15 08:55:22 +0900,71
2020-06-15 09:00:22 +0900,72
2020-06-15 09:05:27 +0900,71
2020-06-15 09:10:32 +0900,71
2020-06-15 09:15:22 +0900,71
2020-06-15 09:20:27 +0900,70
2020-06-15 09:25:32 +0900,68
2020-06-15 09:30:35 +0900,69
2020-06-15 09:36:22 +0900,69
2020-06-15 09:40:33 +0900,70
2020-06-15 19:19:13 +0900,68
2020-06-15 19:29:51 +0900,65
2020-06-15 19:34:05 +0900,103
2020-06-15 19:38:38 +0900,75
2020-06-15 19:44:56 +0900,102.4
2020-06-15 19:44:56 +0900,102
2020-06-15 19:51:53 +0900,97
2020-06-15 19:56:51 +0900,100
2020-06-15 19:58:15 +0900,103
2020-06-15 20:02:57 +0900,97
2020-06-15 20:10:07 +0900,98
2020-06-15 20:14:35 +0900,94
2020-06-15 20:21:35 +0900,94
2020-06-15 20:21:40 +0900,98
2020-06-15 20:21:41 +0900,96
2020-06-15 20:21:50 +0900,92
2020-06-15 20:21:55 +0900,98
2020-06-15 20:20:58 +0900,94
2020-06-15 20:23:16 +0900,96
2020-06-15 20:33:39 +0900,113
2020-06-15 20:28:34 +0900,97
2020-06-15 20:34:44 +0900,100
2020-06-15 20:40:30 +0900,96
2020-06-15 20:46:26 +0900,94
2020-06-15 20:50:15 +0900,92
2020-06-15 20:59:14 +0900,92
2020-06-15 21:05:01 +0900,86
2020-06-15 21:11:46 +0900,88
2020-06-15 21:16:22 +0900,64
2020-06-15 21:18:21 +0900,87
2020-06-15 21:23:58 +0900,67
2020-06-15 21:27:41 +0900,85
2020-06-15 21:36:59 +0900,120
2020-06-15 21:45:33 +0900,122
2020-06-15 21:32:34 +0900,95
2020-06-15 21:46:46 +0900,95
2020-06-15 21:50:37 +0900,112
2020-06-15 21:56:58 +0900,101
2020-06-15 21:59:06 +0900,86
2020-06-15 22:07:00 +0900,96
2020-06-15 22:08:15 +0900,88
2020-06-15 22:15:28 +0900,97
2020-06-15 22:21:08 +0900,89
2020-06-15 22:22:49 +0900,96
2020-06-15 22:30:36 +0900,91
2020-06-15 22:33:29 +0900,89
2020-06-15 22:40:29 +0900,84
2020-06-15 22:43:52 +0900,97.8344
2020-06-15 22:42:29 +0900,101
2020-06-15 22:48:42 +0900,97
2020-06-15 22:56:14 +0900,95
2020-06-15 23:00:46 +0900,93
2020-06-15 23:04:28 +0900,92
2020-06-15 23:10:29 +0900,96
2020-06-15 23:13:11 +0900,115
2020-06-15 23:21:44 +0900,89
2020-06-15 23:23:46 +0900,94
2020-06-15 23:32:11 +0900,100
2020-06-15 23:35:53 +0900,94
2020-06-15 23:38:00 +0900,95
2020-06-15 23:50:43 +0900,126
2020-06-15 23:53:21 +0900,126
2020-06-15 23:42:32 +0900,97
2020-06-15 23:59:06 +0900,103
2020-06-16 00:07:05 +0900,104
2020-06-16 00:11:46 +0900,105
2020-06-16 00:16:17 +0900,98
2020-06-16 00:21:16 +0900,91
2020-06-16 00:22:25 +0900,94
2020-06-16 00:31:49 +0900,96
2020-06-16 00:32:58 +0900,96
2020-06-16 00:41:10 +0900,99
2020-06-16 00:49:24 +0900,113
2020-06-16 00:42:45 +0900,97
2020-06-16 00:51:11 +0900,108
2020-06-16 00:56:39 +0900,104
2020-06-16 01:01:22 +0900,95
2020-06-16 01:06:10 +0900,97
2020-06-16 01:10:51 +0900,100
2020-06-16 01:13:37 +0900,96
2020-06-16 01:24:19 +0900,104
2020-06-16 01:32:13 +0900,103
2020-06-16 01:35:04 +0900,99
2020-06-16 01:37:23 +0900,96
2020-06-16 01:46:33 +0900,91
2020-06-16 01:48:16 +0900,97
2020-06-16 01:53:19 +0900,98
2020-06-16 01:57:46 +0900,95
2020-06-16 02:07:06 +0900,97
2020-06-16 02:04:19 +0900,97
2020-06-16 02:14:52 +0900,92
2020-06-16 02:20:31 +0900,90.3529
2020-06-16 02:19:33 +0900,89
2020-06-16 02:25:24 +0900,87
2020-06-16 02:30:51 +0900,91
2020-06-16 02:32:27 +0900,95
2020-06-16 02:44:36 +0900,116
2020-06-16 02:47:06 +0900,122
2020-06-16 02:38:24 +0900,102
2020-06-16 02:52:17 +0900,101
2020-06-16 02:57:39 +0900,94
2020-06-16 03:03:10 +0900,74
2020-06-16 03:13:56 +0900,68
2020-06-16 03:19:45 +0900,74
2020-06-16 03:24:42 +0900,73
2020-06-16 03:47:27 +0900,68
2020-06-16 03:53:01 +0900,81
2020-06-16 04:16:37 +0900,62
2020-06-16 04:19:51 +0900,70
2020-06-16 04:32:40 +0900,55
2020-06-16 04:46:28 +0900,70
2020-06-16 04:51:15 +0900,61
2020-06-16 04:53:14 +0900,52
2020-06-16 05:04:00 +0900,72
2020-06-16 13:31:59 +0900,101
2020-06-16 13:35:30 +0900,95.4037
2020-06-16 13:37:06 +0900,93
2020-06-16 13:38:45 +0900,93
2020-06-16 13:42:46 +0900,89
2020-06-16 13:47:38 +0900,90.6203
2020-06-16 13:47:38 +0900,87
2020-06-16 13:57:18 +0900,96
2020-06-16 14:02:04 +0900,98
2020-06-16 14:06:59 +0900,95
2020-06-16 14:10:13 +0900,102
2020-06-16 14:17:25 +0900,106
2020-06-16 14:18:32 +0900,112
2020-06-16 14:23:25 +0900,101
2020-06-16 14:30:54 +0900,99
2020-06-16 14:32:45 +0900,101
2020-06-16 14:39:07 +0900,100
